criterio_id,modelo,referencia,gerado
SIN01,Diagnostico-OMW,"Dado que o usuário está na página do produto, quando solicita os detalhes, então o sistema deve exibir as informações","Dado que o usuário está na página do produto, quando solicita os detalhes, então o sistema deve mostrar as informações"
SIN02,Diagnostico-OMW,"Dado que o usuário está autenticado, quando acessa o processo, então o sistema deve iniciar o atendimento","Dado que o usuário está autenticado, quando acessa o processo, então o sistema deve começar o atendimento"
SIN03,Diagnostico-OMW,"Dado que o pedido possui todos os dados obrigatórios, quando o usuário confirma a operação, então o sistema deve finalizar o pedido","Dado que o pedido possui todos os dados obrigatórios, quando o usuário confirma a operação, então o sistema deve concluir o pedido"
SIN04,Diagnostico-OMW,"Dado que existe um produto no carrinho, quando o usuário solicita a remoção, então o sistema deve remover o produto","Dado que existe um produto no carrinho, quando o usuário solicita a remoção, então o sistema deve excluir o produto"
SIN05,Diagnostico-OMW,"Dado que ocorreu um problema no processamento, quando o sistema recebe a resposta, então deve exibir uma mensagem de erro","Dado que ocorreu um problema no processamento, quando o sistema recebe a resposta, então deve exibir uma mensagem de falha"
SIN06,Diagnostico-OMW,"Dado que o produto está disponível, quando o usuário seleciona o item, então deve ser possível comprar o produto","Dado que o produto está disponível, quando o usuário seleciona o item, então deve ser possível adquirir o produto"
SIN07,Diagnostico-OMW,"Dado que existem várias opções disponíveis, quando o usuário acessa a lista, então deve selecionar uma opção","Dado que existem várias opções disponíveis, quando o usuário acessa a lista, então deve escolher uma opção"
SIN08,Diagnostico-OMW,"Dado que o usuário possui permissão válida, quando solicita acesso ao recurso, então o sistema deve permitir o acesso","Dado que o usuário possui permissão válida, quando solicita acesso ao recurso, então o sistema deve autorizar o acesso"
SIN09,Diagnostico-OMW,"Dado que a operação não atende às regras, quando o usuário tenta prosseguir, então o sistema deve impedir a operação","Dado que a operação não atende às regras, quando o usuário tenta prosseguir, então o sistema deve bloquear a operação"
SIN10,Diagnostico-OMW,"Dado que o pedido está disponível, quando o usuário acessa seus detalhes, então deve visualizar as informações do pedido","Dado que o pedido está disponível, quando o usuário acessa seus detalhes, então deve ver as informações do pedido"
SIN11,Diagnostico-OMW,"Dado que ocorreu uma alteração no pedido, quando o processamento termina, então o sistema deve informar o usuário","Dado que ocorreu uma alteração no pedido, quando o processamento termina, então o sistema deve comunicar o usuário"
SIN12,Diagnostico-OMW,"Dado que o cadastro já existe, quando o usuário edita seus dados, então o sistema deve alterar as informações","Dado que o cadastro já existe, quando o usuário edita seus dados, então o sistema deve modificar as informações"
